"","phenotype","description","group"
"1436","733.9","Chondromalacia","musculoskeletal"
"1437","743.4","Stress fracture","musculoskeletal"
"1438","735.1","Flat foot","musculoskeletal"
"1439","735","Acquired foot deformities","musculoskeletal"
"1440","735.2","Acquired toe deformities","musculoskeletal"
"1441","735.23","Hallux rigidus","musculoskeletal"
"1442","735.21","Hammer toe (acquired)","musculoskeletal"
"1443","735.22","Claw toe (acquired)","musculoskeletal"
"1444","736","Other acquired deformities of limbs","musculoskeletal"
"1445","736.1","Acquired deformities of forearm","musculoskeletal"
"1446","736.2","Acquired deformities of finger","musculoskeletal"
"1447","736.3","Acquired deformities of hip","musculoskeletal"
"1448","736.4","Genu valgum or varum (acquired)","musculoskeletal"
"1449","736.5","Acquired deformities of knee","musculoskeletal"
"1450","736.6","Unequal leg length (acquired)","musculoskeletal"
"1451","737","Curvature of spine","musculoskeletal"
"1452","737.1","Kyphosis (acquired)","musculoskeletal"
"1453","737.2","Lordosis (acquired)","musculoskeletal"
"1454","737.3","Kyphoscoliosis and scoliosis","musculoskeletal"
"1455","738","Other acquired musculoskeletal deformity","musculoskeletal"
"1456","738.4","Acquired spondylolisthesis","musculoskeletal"
"1457","769","Nonallopathic lesions NEC","symptoms"
"1458","752.1","Neural tube defects","congenital anomalies"
"1459","752.11","Spina bifida","congenital anomalies"
"1460","752","Nervous system congenital anomalies","congenital anomalies"
"1461","752.2","Other specified congenital anomalies of nervous system","congenital anomalies"
"1462","753","Congenital anomalies of the eye","congenital anomalies"
"1463","753.1","Congenital cataract and lens anomalies","congenital anomalies"
"1464","753.2","Congenital anomalies of posterior segment of eye","congenital anomalies"
"1465","749","Congenital anomalies of face and neck","congenital anomalies"
"1466","747.11","Cardiac shunt/ heart septal defect","congenital anomalies"
"1467","747.1","Cardiac congenital anomalies","congenital anomalies"
"1468","747.12","Valvular heart disease/ heart chambers","congenital anomalies"
"1469","747","Cardiac and circulatory congenital anomalies","congenital anomalies"
"1470","747.13","Congenital anomalies of great vessels","congenital anomalies"
"1471","747.2","Congenital anomalies of peripheral vascular system","congenital anomalies"
"1472","748","Anomalies of respiratory system, congenital","congenital anomalies"
"1473","749.1","Cleft palate","congenital anomalies"
"1474","750.1","Upper gastrointestinal congenital anomalies","congenital anomalies"
"1475","750.13","Congenital anomalies of mouth/tongue","congenital anomalies"
"1476","750.11","Esophageal atresia/tracheoesophageal fistula","congenital anomalies"
"1477","750.14","Congenital anomalies of esophagus","congenital anomalies"
"1478","750.5","Congenital hypertrophic pyloric stenosis","congenital anomalies"
"1479","750.15","Congenital anomalies of stomach","congenital anomalies"
"1480","750","Digestive congenital anomalies","congenital anomalies"
"1481","750.21","Congenital anomalies of intestine","congenital anomalies"
"1482","750.22","Congenital anomaly of gallbladder, bile ducts, liver, pancreas","congenital anomalies"
"1483","750.2","Lower gastrointestinal congenital anomalies","congenital anomalies"
"1484","751","Genitourinary congenital anomalies","congenital anomalies"
"1485","751.11","Congenital anomalies of female genital organs","congenital anomalies"
"1486","751.12","Congenital anomalies of male genital organs","congenital anomalies"
"1487","751.1","Congenital anomalies of genital organs","congenital anomalies"
"1488","751.22","Other specified congenital anomalies of kidney","congenital anomalies"
"1489","751.21","Cystic kidney disease","congenital anomalies"
"1490","751.3","Obstructive genitourinary defect","congenital anomalies"
"1491","751.2","Congenital anomalies of urinary system","congenital anomalies"
"1492","756","Other congenital musculoskeletal anomalies","congenital anomalies"
"1493","755.61","Congenital hip dysplasia and deformity","congenital anomalies"
"1494","755.6","Other congenital anomalies of lower limb, including pelvic girdle","congenital anomalies"
"1495","755.1","Congenital deformities of feet","congenital anomalies"
"1496","756.21","Pectus excavatum","congenital anomalies"
"1497","756.22","Pectus carinatum","congenital anomalies"
"1498","755","Congenital anomalies of limbs","congenital anomalies"
"1499","755.3","Congenital anomaly of fingers/toes","congenital anomalies"
"1500","755.4","Congenital anomalies of upper limb, including shoulder girdle","congenital anomalies"
"1501","749.2","Congenital anomalies of skull and face bones","congenital anomalies"
"1502","754","Congenital musculoskeletal deformities of spine","congenital anomalies"
"1503","754.1","Lumbosacral spondylolysis, congenital","congenital anomalies"
"1504","754.2","Spondylolisthesis, congenital","congenital anomalies"
"1505","756.2","Pectus and other congenital anomalies of ribs/sternum","congenital anomalies"
"1506","756.5","Congenital osteodystrophies","congenital anomalies"
"1507","756.1","Congenital anomalies of abdominal wall; diaphram","congenital anomalies"
"1508","756.3","Congenital anomalies of muscle, tendon, fascia, and connective tissue","congenital anomalies"
"1509","757","Congenital anomalies of the integument","congenital anomalies"
"1510","691.1","Ichthyosis congenita","dermatologic"
"1511","691","Congenital anomalies of skin","dermatologic"
"1512","217","Vascular hamartomas and non-neoplastic nevi","neoplasms"
"1513","691.3","Congenital pigmentary anomalies of skin","dermatologic"
"1514","612.3","Congenital anomalies of breast","genitourinary"
"1515","758.1","Chromosomal anomalies","congenital anomalies"
"1516","759","Other and unspecified congenital anomalies","congenital anomalies"
"1517","759.1","Anomalies of endocrine glands, congenital","congenital anomalies"
"1518","758","Chromosomal anomalies and genetic disorders","congenital anomalies"
"1519","637","Short gestation; low birth weight; and fetal growth retardation","pregnancy complications"
"1520","656.2","Respiratory conditions of fetus and newborn","pregnancy complications"
"1521","656","Other perinatal conditions of fetus or newborn","pregnancy complications"
"1522","656.22","Interstitial emphysema and related conditions of newborn","pregnancy complications"
"1523","656.26","Transitory tachypnea or apnea of newborn","pregnancy complications"
"1524","656.4","Hemorrhage of fetus or newborn","pregnancy complications"
"1525","656.1","Isoimmunization of fetus or newborn","pregnancy complications"
"1526","656.8","Perinatal jaundice","pregnancy complications"
"1527","656.3","Endocrine and metabolic disturbances of fetus and newborn","pregnancy complications"
"1528","656.5","Hematological disorders of newborn","pregnancy complications"
"1529","656.6","Perinatal disorders of digestive system","pregnancy complications"
"1530","656.7","Conditions involving the integument and temperature regulation of fetus and newborn","pregnancy complications"
"1531","656.9","Neonatal bradycardia or tachycardia","pregnancy complications"
"1532","291.8","Alteration of consciousness","mental disorders"
"1533","348.7","Coma","neurological"
"1534","292.5","Transient alteration of awareness","mental disorders"
"1535","292.6","Hallucinations","mental disorders"
"1536","788","Syncope and collapse","symptoms"
"1537","345.3","Convulsions","neurological"
"1538","386.9","Dizziness and giddiness (Light-headedness and vertigo)","sense organs"
"1539","783","Fever of unknown origin","symptoms"
"1540","783.1","Postprocedural fever","symptoms"
"1541","941","Adverse reaction to serum or vaccine","injuries & poisonings"
"1542","780","Hypothermia/Chills","symptoms"
"1543","798","Malaise and fatigue","symptoms"
"1544","798.1","Chronic fatigue syndrome","symptoms"
"1545","292.3","Memory loss","mental disorders"
"1546","292.4","Altered mental status","mental disorders"
"1547","781","Symptoms involving nervous and musculoskeletal systems","symptoms"
"1548","350.1","Abnormal involuntary movements","neurological"
"1549","350.6","Disturbances of sensation of smell and taste","neurological"
"1550","350.2","Abnormality of gait","neurological"
"1551","350","Abnormal movement","neurological"
"1552","350.3","Lack of coordination","neurological"
"1553","292","Neurological disorders","mental disorders"
"1554","781.1","Loss of height","symptoms"
"1555","781.2","Abnormal posture","symptoms"
"1556","772.6","Facial weakness","symptoms"
"1557","782","Symptoms involving skin and other integumentary tissue","symptoms"
"1558","687.4","Disturbance of skin sensation","dermatologic"
"1559","687.1","Rash and other nonspecific skin eruption","dermatologic"
"1560","782.3","Edema","symptoms"
"1561","573.5","Jaundice (not of newborn)","digestive"
"1562","782.6","Pallor and flushing","symptoms"
"1563","287.1","Spontaneous ecchymoses","hematopoietic"
"1564","687.3","Changes in skin texture","dermatologic"
"1565","687","Symptoms affecting skin","dermatologic"
"1566","260.6","Anorexia","endocrine/metabolic"
"1567","278.4","Abnormal weight gain","endocrine/metabolic"
"1568","264","Lack of normal physiological development","endocrine/metabolic"
"1569","264.9","Lack of normal physiological development, unspecified","endocrine/metabolic"
"1570","264.2","Failure to thrive (childhood)","endocrine/metabolic"
"1571","264.3","Delayed milestones","endocrine/metabolic"
"1572","264.1","Short stature","endocrine/metabolic"
"1573","276.8","Polydipsia","endocrine/metabolic"
"1574","260.7","Polyphagia","endocrine/metabolic"
"1575","260.3","Adult failure to thrive","endocrine/metabolic"
"1576","293","Symptoms involving head and neck","mental disorders"
"1577","478","Throat pain","respiratory"
"1578","293.1","Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]","mental disorders"
"1579","292.11","Aphasia","mental disorders"
"1580","473.4","Voice disturbance","respiratory"
"1581","292.1","Aphasia/speech disturbance","mental disorders"
"1582","292.12","Symbolic dysfunction","mental disorders"
"1583","477","Epistaxis or throat hemorrhage","respiratory"
"1584","475.9","Postnasal drip","respiratory"
"1585","429.3","Symptoms involving cardiovascular system","circulatory system"
"1586","427.7","Tachycardia NOS","circulatory system"
"1587","427.9","Palpitations","circulatory system"
"1588","396","Abnormal heart sounds","circulatory system"
"1589","791","Gangrene","symptoms"
"1590","797","Shock","symptoms"
"1591","797.1","Cardiogenic shock","symptoms"
"1592","994.21","Septic shock","injuries & poisonings"
"1593","519.9","Symptoms involving respiratory system and other chest symptoms","respiratory"
"1594","513","Respiratory abnormalities","respiratory"
"1595","513.4","Hyperventilation","respiratory"
"1596","513.32","Orthopnea","respiratory"
"1597","513.31","Apnea","respiratory"
"1598","512.7","Shortness of breath","respiratory"
"1599","512.1","Wheezing","respiratory"
"1600","512.9","Other dyspnea","respiratory"
"1601","512.8","Cough","respiratory"
"1602","516.1","Hemoptysis","respiratory"
"1603","516","Abnormal sputum","respiratory"
"1604","418","Nonspecific chest pain","circulatory system"
"1605","418.1","Precordial pain","circulatory system"
"1606","512.2","Painful respiration","respiratory"
"1607","512.3","Abnormal chest sounds","respiratory"
"1608","579","Other symptoms involving abdomen and pelvis","digestive"
"1609","789","Nausea and vomiting","symptoms"
"1610","530.9","Heartburn","digestive"
"1611","532","Dysphagia","digestive"
"1612","561","Symptoms involving digestive system","digestive"
"1613","579.8","Nonspecific abnormal findings in stool contents","digestive"
"1614","594.8","Renal colic","genitourinary"
"1615","599.3","Dysuria","genitourinary"
"1616","599.2","Retention of urine","genitourinary"
"1617","599.4","Urinary incontinence","genitourinary"
"1618","599.5","Frequency of urination and polyuria","genitourinary"
"1619","599.6","Oliguria and anuria","genitourinary"
"1620","599.9","Other abnormality of urination","genitourinary"
"1621","599.7","Urethral discharge","genitourinary"
"1622","599.8","Other symptoms involving urinary system","genitourinary"
"1623","785","Abdominal pain","symptoms"
"1624","573.3","Hepatomegaly","digestive"
"1625","579.2","Splenomegaly","digestive"
"1626","572","Ascites (non malignant)","digestive"
"1627","790","Nonspecific findings on examination of blood","symptoms"
"1628","790.1","Elevated sedimentation rate","symptoms"
"1629","250.4","Abnormal glucose","endocrine/metabolic"
"1630","250.41","Impaired fasting glucose","endocrine/metabolic"
"1631","250.42","Other abnormal glucose","endocrine/metabolic"
"1632","573.6","Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]","digestive"
"1633","573.9","Abnormal serum enzyme levels","digestive"
"1634","790.6","Other abnormal blood chemistry","symptoms"
"1635","038.3","Bacteremia","infectious diseases"
"1636","079.9","Viremia, NOS","infectious diseases"
"1637","790.9","Abnormal arterial blood gases","symptoms"
"1638","286.9","Abnormal coagulation profile","hematopoietic"
"1639","796","Elevated prostate specific antigen [PSA]","genitourinary"
"1640","246.7","Abnormal results of function study of thyroid","endocrine/metabolic"
"1641","790.8","Elevated C-reactive protein (CRP)","symptoms"
"1642","598","Abnormal findings on examination of urine","genitourinary"
"1643","250.5","Glycosuria or Acetonuria","endocrine/metabolic"
"1644","598.4","Other cells and casts in urine","genitourinary"
"1645","346.3","Nonspecific abnormal findings in cerebrospinal fluid","neurological"
"1646","585.31","Renal dialysis","genitourinary"
"1647","346.1","Nonspecific abnormal findings on radiological and other examination of skull and head","neurological"
"1648","514","Abnormal findings examination of lungs","respiratory"
"1649","514.2","Solitary pulmonary nodule","respiratory"
"1650","575.9","Nonspecific abnormal findings on radiological and other examination of biliary tract","digestive"
"1651","611.1","Abnormal mammogram","genitourinary"
"1652","611.11","Mammographic microcalcification","genitourinary"
"1653","611","Abnormal findings on mammogram or breast exam","genitourinary"
"1654","346.2","Nonspecific abnormal results of function study of brain and central nervous system","neurological"
"1655","346","Abnormal findings on study of brain and/or nervous system","neurological"
"1656","514.1","Abnormal results of function study of pulmonary system","respiratory"
"1657","429.2","Abnormal function study of cardiovascular system","circulatory system"
"1658","426.7","Abnormal electrocardiogram [ECG] [EKG]","circulatory system"
"1659","589","Abnormal results of function study of kidney","genitourinary"
"1660","259.1","Nonspecific abnormal results of other endocrine function study","endocrine/metabolic"
"1661","573.7","Abnormal results of function study of liver","digestive"
"1662","794","Abnormal results of other function studies (bladder, pancreas, placenta, spleen, etc)","symptoms"
"1663","795","Other and nonspecific abnormal cytological, histological and immunological findings","symptoms"
"1664","792","Abnormal Papanicolaou smear of cervix and cervical HPV","genitourinary"
"1665","792.1","Papanicolaou smear of cervix or vagina with atypical squamous cells","genitourinary"
"1666","279.7","Other immunological findings","endocrine/metabolic"
"1667","795.81","Elevated carcinoembryonic antigen [CEA]","symptoms"
"1668","795.82","Elevated cancer antigen 125 [CA 125]","symptoms"
"1669","795.8","Abnormal tumor markers","symptoms"
"1670","350.5","Abnormal reflex","neurological"
"1671","509.5","Respiratory arrest","respiratory"
"1672","260.1","Cachexia","endocrine/metabolic"
"1673","819","Skull and face fracture and other intercranial injury","injuries & poisonings"
"1674","805","Fracture of vertebral column without mention of spinal cord injury","injuries & poisonings"
"1675","807","Fracture of ribs","injuries & poisonings"
"1676","809","Fracture of unspecified bones","injuries & poisonings"
"1677","802","Fracture of pelvis","injuries & poisonings"
"1678","803.3","Fracture of clavicle or scapula","injuries & poisonings"
"1679","803.1","Fracture of humerus","injuries & poisonings"
"1680","803.2","Fracture of radius and ulna","injuries & poisonings"
"1681","803.21","Colles' fracture","injuries & poisonings"
"1682","803","Fracture of upper limb","injuries & poisonings"
"1683","804","Fracture of hand or wrist","injuries & poisonings"
"1684","800.1","Fracture of neck of femur","injuries & poisonings"
"1685","800.2","Fracture of unspecified part of femur","injuries & poisonings"
"1686","800.4","Fracture of patella","injuries & poisonings"
"1687","800.3","Fracture of tibia and fibula","injuries & poisonings"
"1688","823","Torus fracture","injuries & poisonings"
"1689","801.1","Fracture of foot","injuries & poisonings"
"1690","801","Fracture of ankle and foot","injuries & poisonings"
"1691","800","Fracture of lower limb","injuries & poisonings"
"1692","830","Dislocation","injuries & poisonings"
"1693","840","Sprains and strains","injuries & poisonings"
"1694","840.3","Joint/ligament sprain","injuries & poisonings"
"1695","840.1","Muscle/tendon sprain","injuries & poisonings"
"1696","840.2","Rotator cuff (capsule) sprain","injuries & poisonings"
"1697","841","Sprains and strains of back and neck","injuries & poisonings"
"1698","842","Other sprains and strains","injuries & poisonings"
"1699","817","Concussion","injuries & poisonings"
"1700","816","Cerebral laceration and contusion","injuries & poisonings"
"1701","818","Intracranial hemorrhage (injury)","injuries & poisonings"
"1702","818.2","Subarachnoid hemorrhage (injury)","injuries & poisonings"
"1703","818.1","Subdural hemorrhage (injury)","injuries & poisonings"
"1704","870.1","Open wound or laceration of eye or eyelid","injuries & poisonings"
"1705","870.2","Open wound of ear","injuries & poisonings"
"1706","870.3","Other open wound of head and face","injuries & poisonings"
"1707","870.4","Open wound of nose and sinus","injuries & poisonings"
"1708","870","Open wounds of head; neck; and trunk","injuries & poisonings"
"1709","870.5","Open wound of lip and mouth","injuries & poisonings"
"1710","870.6","Open wound of neck","injuries & poisonings"
"1711","870.8","Open wound of genital organs","injuries & poisonings"
"1712","871","Open wounds of extremities","injuries & poisonings"
"1713","871.1","Open wound of hand except finger(s)","injuries & poisonings"
"1714","871.2","Open wound of finger(s)","injuries & poisonings"
"1715","872","Traumatic amputation","injuries & poisonings"
"1716","871.3","Open wound of foot except toe(s) alone","injuries & poisonings"
"1717","871.4","Open wound of toe(s)","injuries & poisonings"
"1718","905","Late effects of musculoskeletal and connective tissue injuries","injuries & poisonings"
"1719","916","Contusion","injuries & poisonings"
"1720","907","Injuries to the nervous system","injuries & poisonings"
"1721","989","Toxic effect of other substances, chiefly nonmedicinal as to source","injuries & poisonings"
"1722","910","Superficial injury, infected","injuries & poisonings"
"1723","911","Blister","injuries & poisonings"
"1724","912","Insect bite","injuries & poisonings"
"1725","952","Spinal cord injury without evidence of spinal bone injury","injuries & poisonings"
"1726","957","Injury to other and unspecified nerves","injuries & poisonings"
"1727","958","Certain early complications of trauma or procedure","injuries & poisonings"
"1728","850","Hemorrhage or hematoma complicating a procedure","injuries & poisonings"
"1729","876","Posttraumatic wound infection not elsewhere classified","injuries & poisonings"
"1730","958.2","Traumatic and surgical subcutaneous emphysema","injuries & poisonings"
"1731","960","Poisoning by antibiotics","injuries & poisonings"
"1732","960.2","Allergy/adverse effect of penicillin","injuries & poisonings"
"1733","960.3","Poisoning by antifungal antibiotics","injuries & poisonings"
"1734","960.1","Adverse effects of antibacterials (not penicillins)","injuries & poisonings"
"1735","961","Poisoning by other anti-infectives","injuries & poisonings"
"1736","961.1","Poisoning/allergy of sulfonamides","injuries & poisonings"
"1737","962.3","Hormones and synthetic substitutes causing adverse effects in therapeutic use","injuries & poisonings"
"1738","962.1","Adrenal cortical steroids causing adverse effects in therapeutic use","injuries & poisonings"
"1739","962","Poisoning by hormones and synthetic substitutes","injuries & poisonings"
"1740","962.2","Insulins and antidiabetic agents causing adverse effects in therapeutic use","injuries & poisonings"
"1741","963","Poisoning by primarily systemic agents","injuries & poisonings"
"1742","964","Poisoning by agents primarily affecting blood constituents","injuries & poisonings"
"1743","965","Poisoning by analgesics, antipyretics, and antirheumatics","injuries & poisonings"
"1744","965.1","Opiates and related narcotics causing adverse effects in therapeutic use","injuries & poisonings"
"1745","965.3","Salicylates causing adverse effects in therapeutic use","injuries & poisonings"
"1746","965.2","Antirheumatics causing adverse effects in therapeutic use","injuries & poisonings"
"1747","966","Poisoning by anticonvulsants and anti-Parkinsonism drugs","injuries & poisonings"
"1748","969","Poisoning by psychotropic agents","injuries & poisonings"
"1749","971","Poisoning by drugs primarily affecting the autonomic nervous system","injuries & poisonings"
"1750","972","Poisoning by agents primarily affecting the cardiovascular system","injuries & poisonings"
"1751","972.1","Cardiac rhythm regulators causing adverse effects in therapeutic use","injuries & poisonings"
"1752","972.2","Antilipemic and antiarteriosclerotic drugs causing adverse effects in therapeutic use","injuries & poisonings"
"1753","972.6","Antihypertensive agents causing adverse effects","injuries & poisonings"
"1754","973","Poisoning by agents primarily affecting the gastrointestinal system","injuries & poisonings"
"1755","974","Poisoning by water, mineral, and uric acid metabolism drugs","injuries & poisonings"
"1756","975","Poisoning by agents primarily acting on the smooth and skeletal muscles and respiratory system","injuries & poisonings"
"1757","976","Poisoning by agents primarily affecting skin & mucous membrane, ophthalmological, otorhinolaryngological, & dental drugs","injuries & poisonings"
"1758","981","Toxic effect of (non-ethyl) alcohol and petroleum and other solvents","injuries & poisonings"
"1759","983","Toxic effect of corrosive aromatics, acids, and caustic alkalis","injuries & poisonings"
"1760","984","Toxic effect of lead and its compounds (including fumes)","injuries & poisonings"
"1761","985","Toxic effect of other metals","injuries & poisonings"
"1762","986","Toxic effect of carbon monoxide","injuries & poisonings"
"1763","987","Toxic effect of other gases, fumes, or vapors","injuries & poisonings"
"1764","988","Toxic effect of noxious substances eaten as food","injuries & poisonings"
"1765","913","Toxic effect of venom","injuries & poisonings"
"1766","946","Anaphylactic shock NOS","injuries & poisonings"
"1767","949","Allergies, other","injuries & poisonings"
"1768","994","Sepsis and SIRS","injuries & poisonings"
"1769","994.1","Systemic inflammatory response syndrome (SIRS)","injuries & poisonings"
"1770","994.2","Sepsis","injuries & poisonings"
"1771","854","Complications of cardiac/vascular device, implant, and graft","injuries & poisonings"
"1772","426.91","Cardiac pacemaker in situ","circulatory system"
"1773","426.92","Cardiac defibrillator in situ","circulatory system"
"1774","855","Complication of nervous system device, implant, and graft","injuries & poisonings"
"1775","857","Mechanical complication of unspecified genitourinary device, implant, and graft","injuries & poisonings"
"1776","858","Complication of internal orthopedic device","injuries & poisonings"
"1777","859","Complication due to other implant and internal device","injuries & poisonings"
"1778","081","Infection/inflammation of internal prosthetic device; implant; and graft","infectious diseases"
"1779","587","Kidney replaced by transpant","genitourinary"
"1780","573.2","Liver replaced by transplant","digestive"
"1781","510.2","Lung transplant","respiratory"
"1782","860","Bone marrow or stem cell transplant","neoplasms"
"1783","856","Vascular complications of surgery and medical procedures","injuries & poisonings"
"1784","429.9","Cardiac complications, not elsewhere classified","circulatory system"
"1785","519.2","Respiratory complications","respiratory"
"1786","597.2","Urinary complications NEC","genitourinary"
"1787","874","Complication of amputation stump","injuries & poisonings"
"1788","401","Hypertension","circulatory system"
"1789","958.1","Postoperative shock","injuries & poisonings"
"1790","875","Non-healing surgical wound","injuries & poisonings"
"1791","297.2","Suicide or self-inflicted injury","mental disorders"
"1792","297","Suicidal ideation or attempt","mental disorders"
"1793","627.22","Need for Hormone replacement therapy (postmenopausal)","genitourinary"
"1794","041.9","Infection with drug-resistant microorganisms","infectious diseases"
"1795","149.5","Hx of malignant neoplasm of oral cavity and pharynx","neoplasms"
"1796","172.1","Melanomas of skin, dx or hx","neoplasms"
"1797","289.3","Personal history of diseases of blood and blood-forming organs","hematopoietic"
"1798","564.9","Personal history of diseases of digestive system","digestive"
"1799","620.1","Dysplasia of cervix","genitourinary"
"1800","977","Personal history of allergy to medicinal agents","injuries & poisonings"
"1801","395.6","Heart valve replaced","circulatory system"
"1802","364.9","Cornea replaced by transplant","sense organs"
"1803","459.7","Blood vessel replaced","circulatory system"
"1804","559","Ileostomy status","digestive"
"1805","426.9","Cardiac pacemaker/device in situ","circulatory system"
"1806","250.3","Insulin pump user","endocrine/metabolic"
"1807","509.8","Dependence on respirator [Ventilator] or supplemental oxygen","respiratory"
"1808","196","Radiotherapy","neoplasms"
"1809","197","Chemotherapy","neoplasms"
"1810","457","Encounter for long-term (current) use of anticoagulants, antithrombotics, aspirin","circulatory system"
"1811","286.2","Encounter for long-term (current) use of anticoagulants","hematopoietic"
"1812","980","Encounter for long-term (current) use of antibiotics","infectious diseases"
"1813","457.2","Encounter for long-term (current) use of antiplatelets/antithrombotics","circulatory system"
"1814","457.3","Encounter for long-term (current) use of aspirin","circulatory system"
"1815","297.1","Suicidal ideation","mental disorders"
"1816","216.1","Screening for malignant neoplasms of the skin","neoplasms"
"1817","195.3","Malignant neoplasm of head, face, and neck","neoplasms"
