"","phenotype","description","group"
"821","458","Hypotension","circulatory system"
"822","458.1","Orthostatic hypotension","circulatory system"
"823","458.9","Hypotension NOS","circulatory system"
"824","458.2","Iatrogenic hypotension","circulatory system"
"825","459.9","Circulatory disease NEC","circulatory system"
"826","459.1","Hemorrhage NOS","circulatory system"
"827","452.8","Postphlebitic syndrome","circulatory system"
"828","459","Other disorders of circulatory system","circulatory system"
"829","453","Chronic venous hypertension","circulatory system"
"830","456","Chronic venous insufficiency [CVI]","circulatory system"
"831","464","Acute sinusitis","respiratory"
"832","465.2","Acute pharyngitis","respiratory"
"833","474.1","Acute tonsillitis","respiratory"
"834","465.4","Acute laryngitis and tracheitis","respiratory"
"835","483","Acute bronchitis and bronchiolitis","respiratory"
"836","470","Septal Deviations/Turbinate Hypertrophy","respiratory"
"837","471","Nasal polyps","respiratory"
"838","472","Chronic pharyngitis and nasopharyngitis","respiratory"
"839","475","Chronic sinusitis","respiratory"
"840","474.2","Chronic tonsillitis and adenoiditis","respiratory"
"841","474","Acute and chronic tonsillitis","respiratory"
"842","473.1","Chronic laryngitis","respiratory"
"843","476","Allergic rhinitis","respiratory"
"844","930","Allergic reaction to food","injuries & poisonings"
"845","479","Other upper respiratory disease","respiratory"
"846","473.3","Paralysis/spasm of vocal cords or larynx","respiratory"
"847","473","Diseases of the larynx and vocal cords","respiratory"
"848","480.11","Pneumococcal pneumonia","respiratory"
"849","480.12","Pseudomonal pneumonia","respiratory"
"850","480.13","MRSA pneumonia","respiratory"
"851","480.5","Bronchopneumonia and lung abscess","respiratory"
"852","481","Influenza","respiratory"
"853","497","Bronchitis","respiratory"
"854","496.2","Chronic bronchitis","respiratory"
"855","496.21","Obstructive chronic bronchitis","respiratory"
"856","496.1","Emphysema","respiratory"
"857","495","Asthma","respiratory"
"858","495.2","Asthma with exacerbation","respiratory"
"859","495.1","Chronic obstructive asthma","respiratory"
"860","495.11","Chronic obstructive asthma with exacerbation","respiratory"
"861","496.3","Bronchiectasis","respiratory"
